rank,name,basename,genre,esrb_rating,platform,publisher,developer,global_sales,year,region,regional_sales
20,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,20.32,2013,north america,6.37
20,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,20.32,2013,europe,9.85
20,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,20.32,2013,japan,0.99
20,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,20.32,2013,other,3.12
21,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,19.39,2014,north america,6.06
21,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,19.39,2014,europe,9.71
21,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,19.39,2014,japan,0.6
21,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,19.39,2014,other,3.02
31,Grand Theft Auto: Vice City,grand-theft-auto-vice-city,Action,M,other,Rockstar Games,Rockstar North,16.15,2002,north america,8.41
31,Grand Theft Auto: Vice City,grand-theft-auto-vice-city,Action,M,other,Rockstar Games,Rockstar North,16.15,2002,europe,5.49
31,Grand Theft Auto: Vice City,grand-theft-auto-vice-city,Action,M,other,Rockstar Games,Rockstar North,16.15,2002,japan,0.47
31,Grand Theft Auto: Vice City,grand-theft-auto-vice-city,Action,M,other,Rockstar Games,Rockstar North,16.15,2002,other,1.78
33,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,15.86,2013,north america,9.06
33,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,15.86,2013,europe,5.33
33,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,15.86,2013,japan,0.06
33,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,15.86,2013,other,1.42
35,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,other,Activision,Treyarch,15.09,2015,north america,6.18
35,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,other,Activision,Treyarch,15.09,2015,europe,6.05
35,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,other,Activision,Treyarch,15.09,2015,japan,0.41
35,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,other,Activision,Treyarch,15.09,2015,other,2.44
41,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,other,Activision,Infinity Ward,14.82,2011,north america,9.07
41,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,other,Activision,Infinity Ward,14.82,2011,europe,4.29
