rank,name,basename,genre,esrb_rating,platform,publisher,developer,pal_sales,year
20,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,9.85,2013
21,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,9.71,2014
31,Grand Theft Auto: Vice City,grand-theft-auto-vice-city,Action,M,other,Rockstar Games,Rockstar North,5.49,2002
33,Grand Theft Auto V,grand-theft-auto-v,Action,M,xbox,Rockstar Games,Rockstar North,5.33,2013
35,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,other,Activision,Treyarch,6.05,2015
41,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,xbox,Activision,Infinity Ward,4.29,2011
42,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,M,xbox,Activision,Treyarch,3.73,2010
46,Red Dead Redemption 2,red-dead-redemption-2,Action-Adventure,M,other,Rockstar Games,Rockstar Games,6.21,2018
47,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,Shooter,M,xbox,Activision,Treyarch,4.32,2012
48,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,Shooter,M,other,Activision,Treyarch,5.88,2012
50,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,M,xbox,Activision,Infinity Ward,3.63,2009
51,Call of Duty: WWII,call-of-duty-wwii,Shooter,M,other,Activision,Sledgehammer Games,6.21,2017
52,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,other,Activision,Infinity Ward,5.78,2011
54,Grand Theft Auto III,grand-theft-auto-iii,Action,M,other,Rockstar Games,DMA Design,4.51,2001
60,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,M,other,Activision,Treyarch,4.4,2010
69,FIFA 18,fifa-18,Sports,E,other,EA Sports,EA Vancouver,8.64,2017
74,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,xbox,Rockstar Games,Rockstar North,3.11,2008
77,FIFA 17,fifa-17,Sports,E,other,Electronic Arts,EA Canada,7.95,2016
79,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,M,other,Activision,Infinity Ward,3.66,2009
80,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,other,Rockstar Games,Rockstar North,3.73,2008
82,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,xbox,Activision,Infinity Ward,2.64,2013
83,Just Dance 3,just-dance-3,Misc,E10,nintendo,Ubisoft,Ubisoft Paris,3.13,2011
84,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,other,Activision,Infinity Ward,4.01,2013
88,Halo: Reach,halo-reach,Shooter,M,xbox,Microsoft Game Studios,Bungie,2.01,2010
90,Halo 4,halo-4,Shooter,M,xbox,Microsoft Studios,343 Industries,2.36,2012
95,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,xbox,Activision,Infinity Ward,2.39,2007
98,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,M,other,Activision,Treyarch,3.28,2018
101,FIFA 19,fifa-19,Sports,E,other,Electronic Arts,EA Sports,6.87,2018
105,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,xbox,Bethesda Softworks,Bethesda Game Studios,2.83,2011
108,Grand Theft Auto V,grand-theft-auto-v,Action,M,xbox,Rockstar Games,Rockstar North,3.25,2014
113,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,Shooter,M,other,Activision,Infinity Ward,3.83,2016
114,Fallout 4,fallout-4,Role-Playing,M,other,Bethesda Softworks,Bethesda Game Studios,3.97,2015
119,FIFA 16,fifa-16,Sports,E,other,EA Sports,EA Canada,5.77,2015
121,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,T,other,Electronic Arts,EA DICE,3.19,2015
122,FIFA 13,fifa-13,Sports,E,other,EA Sports,EA Canada,5.13,2012
124,The Sims 3,the-sims-3,Simulation,T,pc,Electronic Arts,EA Redwood Shores,6.46,2009
