rank,name,basename,genre,esrb_rating,platform,publisher,developer,global_sales,year,publisher_ranked
20,Grand Theft Auto V,grand-theft-auto-v,Action,M,playstation,rockstar games,Rockstar North,20.32,2013,FALSE
21,Grand Theft Auto V,grand-theft-auto-v,Action,M,playstation,rockstar games,Rockstar North,19.39,2014,FALSE
31,Grand Theft Auto: Vice City,grand-theft-auto-vice-city,Action,M,playstation,rockstar games,Rockstar North,16.15,2002,FALSE
33,Grand Theft Auto V,grand-theft-auto-v,Action,M,xbox,rockstar games,Rockstar North,15.86,2013,FALSE
35,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,playstation,activision,Treyarch,15.09,2015,FALSE
41,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,xbox,activision,Infinity Ward,14.82,2011,FALSE
42,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,M,xbox,activision,Treyarch,14.74,2010,FALSE
46,Red Dead Redemption 2,red-dead-redemption-2,Action-Adventure,M,playstation,rockstar games,Rockstar Games,13.94,2018,FALSE
47,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,Shooter,M,xbox,activision,Treyarch,13.86,2012,FALSE
48,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,Shooter,M,playstation,activision,Treyarch,13.8,2012,FALSE
50,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,M,xbox,activision,Infinity Ward,13.53,2009,FALSE
51,Call of Duty: WWII,call-of-duty-wwii,Shooter,M,playstation,activision,Sledgehammer Games,13.4,2017,FALSE
52,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,playstation,activision,Infinity Ward,13.35,2011,FALSE
54,Grand Theft Auto III,grand-theft-auto-iii,Action,M,playstation,rockstar games,DMA Design,13.1,2001,FALSE
60,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,M,playstation,activision,Treyarch,12.67,2010,FALSE
69,FIFA 18,fifa-18,Sports,E,playstation,ea sports,EA Vancouver,11.8,2017,FALSE
74,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,xbox,rockstar games,Rockstar North,11.09,2008,FALSE
77,FIFA 17,fifa-17,Sports,E,playstation,electronic arts,EA Canada,10.94,2016,TRUE
79,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,M,playstation,activision,Infinity Ward,10.61,2009,FALSE
80,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,playstation,rockstar games,Rockstar North,10.57,2008,FALSE
82,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,xbox,activision,Infinity Ward,10.41,2013,FALSE
83,Just Dance 3,just-dance-3,Misc,E10,nintendo,ubisoft,Ubisoft Paris,10.14,2011,TRUE
84,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,playstation,activision,Infinity Ward,10.13,2013,FALSE
88,Halo: Reach,halo-reach,Shooter,M,xbox,microsoft game studios,Bungie,9.97,2010,FALSE
90,Halo 4,halo-4,Shooter,M,xbox,microsoft studios,343 Industries,9.96,2012,FALSE
95,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,xbox,activision,Infinity Ward,9.41,2007,FALSE
98,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,M,playstation,activision,Treyarch,9.32,2018,FALSE
101,FIFA 19,fifa-19,Sports,E,playstation,electronic arts,EA Sports,9.15,2018,TRUE
105,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,xbox,bethesda softworks,Bethesda Game Studios,8.88,2011,FALSE
108,Grand Theft Auto V,grand-theft-auto-v,Action,M,xbox,rockstar games,Rockstar North,8.72,2014,FALSE
113,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,Shooter,M,playstation,activision,Infinity Ward,8.48,2016,FALSE
114,Fallout 4,fallout-4,Role-Playing,M,playstation,bethesda softworks,Bethesda Game Studios,8.48,2015,FALSE
119,FIFA 16,fifa-16,Sports,E,playstation,ea sports,EA Canada,8.22,2015,FALSE
121,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,T,playstation,electronic arts,EA DICE,8.03,2015,TRUE
122,FIFA 13,fifa-13,Sports,E,playstation,ea sports,EA Canada,8.01,2012,FALSE
124,The Sims 3,the-sims-3,Simulation,T,pc,electronic arts,EA Redwood Shores,7.96,2009,TRUE
125,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,M,playstation,rockstar games,Rockstar Leeds,7.72,2005,FALSE
129,Crash Bandicoot 2: Cortex Strikes Back,crash-bandicoot-2-cortex-strikes-back,Platform,E,playstation,sony computer entertainment,Naughty Dog,7.58,1997,FALSE
130,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,playstation,activision,Sledgehammer Games,7.53,2014,FALSE
131,Call of Duty: World at War,call-of-duty-world-at-war,Shooter,M,xbox,activision,Treyarch,7.5,2008,FALSE
135,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,xbox,activision,Treyarch,7.37,2015,FALSE
136,Battlefield 3,battlefield-3,Shooter,M,xbox,electronic arts,Dice,7.35,2011,TRUE
138,Battlefield 1,battlefield-1,Shooter,M,playstation,electronic arts,EA DICE,7.26,2016,TRUE
139,Battlefield 3,battlefield-3,Shooter,M,playstation,electronic arts,Dice,7.21,2011,TRUE
140,Need for Speed Underground,need-for-speed-underground,Racing,E,playstation,electronic arts,EA Black Box,7.2,2003,TRUE
142,Crash Bandicoot 3: Warped,crash-bandicoot-3-warped,Platform,E,playstation,sony computer entertainment,Naughty Dog,7.13,1998,FALSE
145,Need for Speed Underground 2,need-for-speed-underground-2,Racing,E,playstation,electronic arts,EA Black Box,6.9,2004,TRUE
146,Just Dance 4,just-dance-4,Music,E10,nintendo,ubisoft,Ubisoft,6.89,2012,TRUE
148,Uncharted 3: Drake's Deception,uncharted-3-drakes-deception,Action,T,playstation,sony computer entertainment,Naughty Dog,6.84,2011,FALSE
149,Medal of Honor: Frontline,medal-of-honor-frontline,Shooter,T,playstation,electronic arts,EA Los Angeles,6.83,2002,TRUE
151,Zumba Fitness,zumba-fitness,Sports,E,nintendo,majesco,"Pipeworks Software, Inc.",6.76,2010,FALSE
152,Uncharted 2: Among Thieves,uncharted-2-among-thieves,Action,T,playstation,sony computer entertainment,Naughty Dog,6.74,2009,FALSE
153,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,playstation,activision,Infinity Ward,6.72,2007,FALSE
154,FIFA Soccer 12,fifa-soccer-12,Sports,E,playstation,ea sports,EA Canada,6.65,2011,FALSE
155,FIFA 14,fifa-14,Sports,E,playstation,ea sports,EA Canada,6.61,2013,FALSE
156,Red Dead Redemption,red-dead-redemption,Action,M,playstation,rockstar games,Rockstar San Diego,6.57,2011,FALSE
159,Assassin's Creed III,assassins-creed-iii,Action-Adventure,M,playstation,ubisoft,Ubisoft Montreal,6.5,2012,TRUE
161,Red Dead Redemption,red-dead-redemption,Action,M,xbox,rockstar games,Rockstar San Diego,6.5,2010,FALSE
162,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,playstation,bethesda softworks,Bethesda Game Studios,6.49,2011,FALSE
166,Halo 3: ODST,halo-3-odst,Shooter,M,xbox,microsoft game studios,Bungie,6.35,2009,FALSE
167,Minecraft,minecraft,Misc,E10,playstation,sony computer entertainment,Mojang,6.33,2014,FALSE
168,FIFA 15,fifa-15,Sports,E,playstation,ea sports,EA Canada,6.32,2014,FALSE
171,The Last of Us,the-last-of-us,Action-Adventure,M,playstation,sony computer entertainment america,Naughty Dog,6.27,2013,FALSE
172,Driver,driver,Action,T,playstation,gt interactive,Reflections Interactive,6.27,1999,FALSE
173,Call of Duty: WWII,call-of-duty-wwii,Shooter,M,xbox,activision,Sledgehammer Games,6.23,2017,FALSE
174,God of War (2018),god-of-war-2018,Action,M,playstation,sony interactive entertainment,SIE Santa Monica Studio,6.15,2018,FALSE
176,Minecraft,minecraft,Misc,E10,playstation,sony computer entertainment america,Mojang,6.05,2014,FALSE
177,Metal Gear Solid 2: Sons of Liberty,metal-gear-solid-2-sons-of-liberty,Action,M,playstation,konami,Konami Computer Entertainment Japan,6.05,2001,TRUE
181,Metal Gear Solid 4: Guns of the Patriots,metal-gear-solid-4-guns-of-the-patriots,Action,M,playstation,konami,Kojima Productions,6,2008,TRUE
185,LittleBigPlanet,littlebigplanet,Platform,E,playstation,sony computer entertainment,Media Molecule,5.85,2008,FALSE
189,Red Dead Redemption 2,red-dead-redemption-2,Action-Adventure,M,xbox,rockstar games,Rockstar Games,5.77,2018,FALSE
191,Destiny,destiny,Shooter,T,playstation,activision,Bungie,5.76,2014,FALSE
193,Tekken 2,tekken-2,Fighting,T,playstation,namco,Namco,5.74,1996,FALSE
194,Uncharted: The Nathan Drake Collection,uncharted-the-nathan-drake-collection,Action,unrated,playstation,sony computer entertainment,Bluepoint Games,5.7,2015,FALSE
196,LEGO Star Wars: The Complete Saga,lego-star-wars-the-complete-saga,Action,E10,nintendo,lucasarts,Traveller's Tales,5.66,2007,FALSE
197,Cooking Mama,cooking-mama,Simulation,E,other,majesco,Office Create,5.66,2006,FALSE
201,Assassin's Creed II,assassins-creed-ii,Action,M,playstation,ubisoft,Ubisoft Montreal,5.57,2009,TRUE
203,Assassin's Creed,assassins-creed,Action,M,xbox,ubisoft,Ubisoft Montreal,5.55,2007,TRUE
204,Batman: Arkham City,batman-arkham-city,Action,T,playstation,warner bros. interactive,Rocksteady Studios,5.54,2011,TRUE
205,Forza Motorsport 3,forza-motorsport-3,Racing,E,xbox,microsoft game studios,Turn 10 Studios,5.5,2009,FALSE
212,Minecraft,minecraft,Misc,E10,xbox,microsoft studios,Mojang,5.43,2014,FALSE
213,Call of Duty: World at War,call-of-duty-world-at-war,Shooter,M,playstation,activision,Treyarch,5.43,2008,FALSE
215,Crash Bandicoot: The Wrath of Cortex,crash-bandicoot-the-wrath-of-cortex,Platform,E,playstation,universal interactive,Traveller's Tales,5.42,2001,FALSE
216,The Witcher 3: Wild Hunt,the-witcher-3-wild-hunt,Role-Playing,M,playstation,warner bros. interactive entertainment,CD Projekt Red Studio,5.39,2015,FALSE
217,Final Fantasy XIII,final-fantasy-xiii,Role-Playing,T,playstation,square enix,Square Enix,5.35,2010,TRUE
221,Assassin's Creed III,assassins-creed-iii,Action-Adventure,M,xbox,ubisoft,Ubisoft Montreal,5.31,2012,TRUE
223,Assassin's Creed II,assassins-creed-ii,Action,M,xbox,ubisoft,Ubisoft Montreal,5.3,2009,TRUE
228,Tomb Raider II,tomb-raider-ii,Adventure,T,playstation,eidos interactive,Core Design Ltd.,5.24,1997,FALSE
229,Madden NFL 2004,madden-nfl-2004,Sports,E,playstation,ea sports,EA Tiburon,5.23,2003,FALSE
230,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,xbox,activision,Sledgehammer Games,5.22,2014,FALSE
