rank,name,basename,genre,esrb_rating,platform,publisher,developer,jp_sales,year
20,Grand Theft Auto V,grand-theft-auto-v,Action,M,playstation,Rockstar Games,Rockstar North,0.99,2013
21,Grand Theft Auto V,grand-theft-auto-v,Action,M,playstation,Rockstar Games,Rockstar North,0.6,2014
31,Grand Theft Auto: Vice City,grand-theft-auto-vice-city,Action,M,playstation,Rockstar Games,Rockstar North,0.47,2002
33,Grand Theft Auto V,grand-theft-auto-v,Action,M,xbox,Rockstar Games,Rockstar North,0.06,2013
35,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,playstation,Activision,Treyarch,0.41,2015
41,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,xbox,Activision,Infinity Ward,0.13,2011
42,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,M,xbox,Activision,Treyarch,0.11,2010
46,Red Dead Redemption 2,red-dead-redemption-2,Action-Adventure,M,playstation,Rockstar Games,Rockstar Games,0.21,2018
47,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,Shooter,M,xbox,Activision,Treyarch,0.07,2012
48,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,Shooter,M,playstation,Activision,Treyarch,0.65,2012
50,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,M,xbox,Activision,Infinity Ward,0.08,2009
51,Call of Duty: WWII,call-of-duty-wwii,Shooter,M,playstation,Activision,Sledgehammer Games,0.4,2017
52,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,playstation,Activision,Infinity Ward,0.49,2011
54,Grand Theft Auto III,grand-theft-auto-iii,Action,M,playstation,Rockstar Games,DMA Design,0.3,2001
60,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,M,playstation,Activision,Treyarch,0.48,2010
69,FIFA 18,fifa-18,Sports,E,playstation,EA Sports,EA Vancouver,0.15,2017
74,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,xbox,Rockstar Games,Rockstar North,0.14,2008
77,FIFA 17,fifa-17,Sports,E,playstation,Electronic Arts,EA Canada,0.12,2016
79,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,M,playstation,Activision,Infinity Ward,0.38,2009
80,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,playstation,Rockstar Games,Rockstar North,0.44,2008
82,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,xbox,Activision,Infinity Ward,0.04,2013
84,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,playstation,Activision,Infinity Ward,0.39,2013
88,Halo: Reach,halo-reach,Shooter,M,xbox,Microsoft Game Studios,Bungie,0.08,2010
90,Halo 4,halo-4,Shooter,M,xbox,Microsoft Studios,343 Industries,0.04,2012
95,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,xbox,Activision,Infinity Ward,0.13,2007
98,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,M,playstation,Activision,Treyarch,0.5,2018
101,FIFA 19,fifa-19,Sports,E,playstation,Electronic Arts,EA Sports,0.1,2018
105,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,xbox,Bethesda Softworks,Bethesda Game Studios,0.1,2011
108,Grand Theft Auto V,grand-theft-auto-v,Action,M,xbox,Rockstar Games,Rockstar North,0.01,2014
113,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,Shooter,M,playstation,Activision,Infinity Ward,0.19,2016
114,Fallout 4,fallout-4,Role-Playing,M,playstation,Bethesda Softworks,Bethesda Game Studios,0.27,2015
119,FIFA 16,fifa-16,Sports,E,playstation,EA Sports,EA Canada,0.07,2015
121,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,T,playstation,Electronic Arts,EA DICE,0.23,2015
122,FIFA 13,fifa-13,Sports,E,playstation,EA Sports,EA Canada,0.13,2012
125,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,M,playstation,Rockstar Games,Rockstar Leeds,0.24,2005
129,Crash Bandicoot 2: Cortex Strikes Back,crash-bandicoot-2-cortex-strikes-back,Platform,E,playstation,Sony Computer Entertainment,Naughty Dog,1.31,1997
130,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,playstation,Activision,Sledgehammer Games,0.14,2014
135,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,xbox,Activision,Treyarch,0.02,2015
136,Battlefield 3,battlefield-3,Shooter,M,xbox,Electronic Arts,Dice,0.06,2011
138,Battlefield 1,battlefield-1,Shooter,M,playstation,Electronic Arts,EA DICE,0.29,2016
139,Battlefield 3,battlefield-3,Shooter,M,playstation,Electronic Arts,Dice,0.35,2011
140,Need for Speed Underground,need-for-speed-underground,Racing,E,playstation,Electronic Arts,EA Black Box,0.08,2003
142,Crash Bandicoot 3: Warped,crash-bandicoot-3-warped,Platform,E,playstation,Sony Computer Entertainment,Naughty Dog,1.42,1998
145,Need for Speed Underground 2,need-for-speed-underground-2,Racing,E,playstation,Electronic Arts,EA Black Box,0.08,2004
148,Uncharted 3: Drake's Deception,uncharted-3-drakes-deception,Action,T,playstation,Sony Computer Entertainment,Naughty Dog,0.19,2011
149,Medal of Honor: Frontline,medal-of-honor-frontline,Shooter,T,playstation,Electronic Arts,EA Los Angeles,0.17,2002
152,Uncharted 2: Among Thieves,uncharted-2-among-thieves,Action,T,playstation,Sony Computer Entertainment,Naughty Dog,0.21,2009
153,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,playstation,Activision,Infinity Ward,0.28,2007
154,FIFA Soccer 12,fifa-soccer-12,Sports,E,playstation,EA Sports,EA Canada,0.11,2011
155,FIFA 14,fifa-14,Sports,E,playstation,EA Sports,EA Canada,0.07,2013
156,Red Dead Redemption,red-dead-redemption,Action,M,playstation,Rockstar Games,Rockstar San Diego,0.17,2011
159,Assassin's Creed III,assassins-creed-iii,Action-Adventure,M,playstation,Ubisoft,Ubisoft Montreal,0.16,2012
161,Red Dead Redemption,red-dead-redemption,Action,M,xbox,Rockstar Games,Rockstar San Diego,0.09,2010
162,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,playstation,Bethesda Softworks,Bethesda Game Studios,0.25,2011
166,Halo 3: ODST,halo-3-odst,Shooter,M,xbox,Microsoft Game Studios,Bungie,0.06,2009
167,Minecraft,minecraft,Misc,E10,playstation,Sony Computer Entertainment,Mojang,0.35,2014
168,FIFA 15,fifa-15,Sports,E,playstation,EA Sports,EA Canada,0.05,2014
171,The Last of Us,the-last-of-us,Action-Adventure,M,playstation,Sony Computer Entertainment America,Naughty Dog,0.29,2013
172,Driver,driver,Action,T,playstation,GT Interactive,Reflections Interactive,0.02,1999
174,God of War (2018),god-of-war-2018,Action,M,playstation,Sony Interactive Entertainment,SIE Santa Monica Studio,0.13,2018
177,Metal Gear Solid 2: Sons of Liberty,metal-gear-solid-2-sons-of-liberty,Action,M,playstation,Konami,Konami Computer Entertainment Japan,0.87,2001
181,Metal Gear Solid 4: Guns of the Patriots,metal-gear-solid-4-guns-of-the-patriots,Action,M,playstation,Konami,Kojima Productions,0.83,2008
185,LittleBigPlanet,littlebigplanet,Platform,E,playstation,Sony Computer Entertainment,Media Molecule,0.17,2008
191,Destiny,destiny,Shooter,T,playstation,Activision,Bungie,0.16,2014
193,Tekken 2,tekken-2,Fighting,T,playstation,Namco,Namco,1.36,1996
194,Uncharted: The Nathan Drake Collection,uncharted-the-nathan-drake-collection,Action,unrated,playstation,Sony Computer Entertainment,Bluepoint Games,0.1,2015
197,Cooking Mama,cooking-mama,Simulation,E,other,Majesco,Office Create,0.07,2006
201,Assassin's Creed II,assassins-creed-ii,Action,M,playstation,Ubisoft,Ubisoft Montreal,0.21,2009
203,Assassin's Creed,assassins-creed,Action,M,xbox,Ubisoft,Ubisoft Montreal,0.07,2007
204,Batman: Arkham City,batman-arkham-city,Action,T,playstation,Warner Bros. Interactive,Rocksteady Studios,0.11,2011
205,Forza Motorsport 3,forza-motorsport-3,Racing,E,xbox,Microsoft Game Studios,Turn 10 Studios,0.1,2009
215,Crash Bandicoot: The Wrath of Cortex,crash-bandicoot-the-wrath-of-cortex,Platform,E,playstation,Universal Interactive,Traveller's Tales,0.24,2001
216,The Witcher 3: Wild Hunt,the-witcher-3-wild-hunt,Role-Playing,M,playstation,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,0.28,2015
217,Final Fantasy XIII,final-fantasy-xiii,Role-Playing,T,playstation,Square Enix,Square Enix,1.87,2010
221,Assassin's Creed III,assassins-creed-iii,Action-Adventure,M,xbox,Ubisoft,Ubisoft Montreal,0.03,2012
223,Assassin's Creed II,assassins-creed-ii,Action,M,xbox,Ubisoft,Ubisoft Montreal,0.08,2009
228,Tomb Raider II,tomb-raider-ii,Adventure,T,playstation,Eidos Interactive,Core Design Ltd.,0.2,1997
229,Madden NFL 2004,madden-nfl-2004,Sports,E,playstation,EA Sports,EA Tiburon,0.01,2003
